,Rj,Cj,Rtmdc,Cp,Lp
0,10000.0,1e-17,100000.0,1e-18,1e-05
1,10000.0,1e-17,100000.0,1e-17,1e-05
2,10000.0,1e-17,100000.0,1e-16,1e-05
3,10000.0,1e-17,100000.0,1e-15,1e-05
4,10000.0,1e-17,100000.0,1e-14,1e-05
5,10000.0,1e-17,100000.0,1e-13,1e-05
6,10000.0,1e-17,100000.0,1e-12,1e-05
7,10000.0,1e-17,100000.0,1e-11,1e-05
8,10000.0,1e-17,100000.0,1e-10,1e-05
9,10000.0,1e-17,100000.0,1e-09,1e-05
10,10000.0,1e-17,100000.0,1e-08,1e-05
11,10000.0,1e-17,100000.0,1e-07,1e-05
12,10000.0,1e-17,100000.0,1e-06,1e-05
13,10000.0,1e-17,100000.0,1e-05,1e-05
